Monkey_1000 ms step
Monkey_3 ms step
Gapfree
Monkey_0.5ms square pulse 1
Monkey_25 pA per sec ramp
Monkey Gap free
Monkey_3 ms step_addsweep
Monkey_CC_RAMP_NEW
Monkey_1nA_pulse
noise10pA
noise30pA
noise50pA
noise70pA
noise90pA
noise110pA
noise130pA
noise150pA
noise170pA
noise190pA
noise210pA
Monkey_3 ms step2
None
Monkey_1000 ms steplong
Monkey_1000 ms stepExtra
vclampRNA
Gap free
